colName	format
date.d_year	uncompr
lineorder.lo_revenue	uncompr
lineorder.lo_supplycost	static_vbp_17
customer.c_custkey	uncompr
customer.c_region	uncompr
lineorder.lo_custkey	static_vbp_24
supplier.s_suppkey	uncompr
supplier.s_region	uncompr
part.p_category	uncompr
part.p_partkey	uncompr
part.p_mfgr	uncompr
lineorder.lo_suppkey	static_vbp_18
supplier.s_nation	static_vbp_5
lineorder.lo_partkey	uncompr
date.d_datekey	uncompr
lineorder.lo_orderdate	uncompr
C_77	uncompr
C_81	uncompr
C_82	uncompr
X_83	uncompr
X_85	static_vbp_32
X_86	static_vbp_10
X_92	for+dynamic_vbp
C_124	uncompr
C_128	uncompr
C_129	uncompr
X_130	for+dynamic_vbp
X_133	static_vbp_28
X_134	static_vbp_24
X_141_0	uncompr
X_141	static_vbp_32
C_175	uncompr
X_177	uncompr
X_181	static_vbp_24
X_180	uncompr
X_186_0	static_vbp_24
X_186_1	static_vbp_32
X_186	for+dynamic_vbp
C_218	delta+dynamic_vbp
X_220	uncompr
X_222	static_vbp_24
X_238_0	uncompr
X_238_1	static_vbp_4
X_238_2	static_vbp_4
X_238	uncompr
X_240_0	static_vbp_5
X_240_1	uncompr
X_240	uncompr
X_235_0	uncompr
X_235_1	static_vbp_11
X_235_2	static_vbp_11
X_235_3	uncompr
X_235	static_vbp_11
C_250	uncompr
X_249	uncompr
C_253	uncompr
X_252	uncompr
C_256	uncompr
X_255	uncompr
X_258	uncompr
X_259	uncompr
X_260	uncompr
X_232_0	uncompr
X_232_1	uncompr
X_232_2	uncompr
X_232	uncompr
X_233_0	static_vbp_18
X_233_1	static_vbp_24
X_233_2	static_vbp_18
X_233	uncompr
X_246	uncompr
X_261	uncompr
