colName	format
date.d_year	static_vbp_12
lineorder.lo_revenue	uncompr
lineorder.lo_supplycost	uncompr
customer.c_custkey	uncompr
customer.c_region	uncompr
lineorder.lo_custkey	uncompr
supplier.s_suppkey	static_vbp_32
supplier.s_region	static_vbp_8
part.p_category	uncompr
part.p_partkey	uncompr
part.p_mfgr	uncompr
lineorder.lo_suppkey	uncompr
supplier.s_nation	uncompr
lineorder.lo_partkey	uncompr
date.d_datekey	uncompr
lineorder.lo_orderdate	static_vbp_25
C_77	uncompr
C_81	uncompr
C_82	uncompr
X_83	delta+dynamic_vbp
X_85	for+dynamic_vbp
X_86	delta+dynamic_vbp
X_92	delta+dynamic_vbp
C_124	uncompr
C_128	uncompr
C_129	uncompr
X_130	uncompr
X_133	uncompr
X_134	uncompr
X_141_0	uncompr
X_141	uncompr
C_175	uncompr
X_177	uncompr
X_181	uncompr
X_180	uncompr
X_186_0	uncompr
X_186_1	uncompr
X_186	uncompr
C_218	uncompr
X_220	uncompr
X_222	uncompr
X_238_0	uncompr
X_238_1	uncompr
X_238_2	uncompr
X_238	uncompr
X_240_0	uncompr
X_240_1	uncompr
X_240	uncompr
X_235_0	static_vbp_11
X_235_1	uncompr
X_235_2	uncompr
X_235_3	static_vbp_11
X_235	uncompr
C_250	for+dynamic_vbp
X_249	uncompr
C_253	uncompr
X_252	uncompr
C_256	uncompr
X_255	uncompr
X_258	uncompr
X_259	uncompr
X_260	uncompr
X_232_0	uncompr
X_232_1	uncompr
X_232_2	uncompr
X_232	uncompr
X_233_0	uncompr
X_233_1	uncompr
X_233_2	uncompr
X_233	uncompr
X_246	uncompr
X_261	uncompr
