colName	format
part.p_mfgr	uncompr
lineorder.lo_revenue	uncompr
date.d_datekey	delta+dynamic_vbp
lineorder.lo_supplycost	uncompr
lineorder.lo_orderdate	uncompr
customer.c_custkey	uncompr
customer.c_region	for+dynamic_vbp
date.d_year	static_vbp_12
supplier.s_suppkey	uncompr
supplier.s_region	uncompr
lineorder.lo_custkey	uncompr
customer.c_nation	static_vbp_5
lineorder.lo_suppkey	uncompr
part.p_partkey	uncompr
lineorder.lo_partkey	uncompr
C_75	uncompr
C_79	uncompr
C_80	uncompr
X_81	uncompr
X_83	uncompr
X_91	uncompr
C_115	uncompr
X_117	uncompr
X_119	uncompr
X_125_0	uncompr
X_125	uncompr
C_160	uncompr
X_162	uncompr
X_166	uncompr
X_165	uncompr
X_174_0	uncompr
X_174_1	uncompr
X_174	uncompr
X_201	uncompr
X_200	uncompr
X_217_0	uncompr
X_217_1	uncompr
X_217	uncompr
X_220	uncompr
C_227	uncompr
X_226	uncompr
C_230	uncompr
X_229	uncompr
X_232	uncompr
X_233	uncompr
X_210_0	uncompr
X_210_1	uncompr
X_210_2	uncompr
X_210	uncompr
X_211_0	uncompr
X_211_1	uncompr
X_211_2	uncompr
X_211	uncompr
X_223	uncompr
X_234	uncompr
