colName	format
date.d_year	uncompr
customer.c_city	uncompr
supplier.s_city	uncompr
customer.c_custkey	uncompr
customer.c_nation	dynamic_vbp
lineorder.lo_custkey	uncompr
supplier.s_suppkey	uncompr
supplier.s_nation	uncompr
lineorder.lo_revenue	uncompr
lineorder.lo_suppkey	uncompr
lineorder.lo_orderdate	dynamic_vbp
date.d_datekey	static_vbp_32
C_63	uncompr
X_67	uncompr
X_69	uncompr
X_70	delta+dynamic_vbp
X_75	delta+dynamic_vbp
C_105	static_vbp_24
X_107	uncompr
X_110	uncompr
X_111	delta+dynamic_vbp
X_116_0	uncompr
X_116	uncompr
C_150	delta+dynamic_vbp
X_152	static_vbp_22
X_156	uncompr
X_155	uncompr
X_164_0	uncompr
X_164_1	uncompr
X_164	uncompr
X_168_0	uncompr
X_168_1	uncompr
X_168	uncompr
X_171_0	uncompr
X_171	uncompr
X_166_0	static_vbp_11
X_166_1	uncompr
X_166_2	static_vbp_11
X_166	static_vbp_11
X_173	uncompr
C_174	uncompr
C_177	uncompr
X_176	uncompr
C_180	uncompr
X_179	uncompr
X_184	uncompr
X_185	uncompr
X_195	uncompr
X_196	uncompr
